V_Rx(V),I(A),R(Ohm)
4.506,0.000416,10833.5
4.521,0.000416,10868.7
4.575,0.000416,10998.0
4.585,0.000416,11021.5
4.599,0.000416,11056.7
4.614,0.000416,11092.0
4.629,0.000416,11127.2
4.648,0.000416,11174.2
4.663,0.000416,11209.5
4.702,0.000520,9042.8
4.717,0.000520,9071.0
4.751,0.000520,9136.8
4.765,0.000520,9165.0
4.780,0.000520,9193.2
4.809,0.000520,9249.6
4.824,0.000520,9277.8
4.844,0.000520,9315.4
4.858,0.000520,9343.6
4.883,0.000520,9390.6
4.902,0.000520,9428.2
4.951,0.000520,9522.2
